Date,year,month,day,weekday,is_weekend,week,is_leap_year,Forecast_Price XAU/USD
2025-03-01,2025,3,1,5,1,9,0,2892.2354
2025-03-02,2025,3,2,6,1,9,0,2878.8518
2025-03-03,2025,3,3,0,0,10,0,2888.7876
2025-03-04,2025,3,4,1,0,10,0,2906.8108
2025-03-05,2025,3,5,2,0,10,0,2917.0461
2025-03-06,2025,3,6,3,0,10,0,2918.8027
2025-03-07,2025,3,7,4,0,10,0,2906.5605
2025-03-08,2025,3,8,5,1,10,0,2910.3108
2025-03-09,2025,3,9,6,1,10,0,2909.575
2025-03-10,2025,3,10,0,0,11,0,2893.8774
2025-03-11,2025,3,11,1,0,11,0,2913.506
2025-03-12,2025,3,12,2,0,11,0,2932.5146
2025-03-13,2025,3,13,3,0,11,0,2946.1277
2025-03-14,2025,3,14,4,0,11,0,2921.8506
2025-03-15,2025,3,15,5,1,11,0,2912.7573
2025-03-16,2025,3,16,6,1,11,0,2931.567
2025-03-17,2025,3,17,0,0,12,0,3001.189
2025-03-18,2025,3,18,1,0,12,0,3027.8018
2025-03-19,2025,3,19,2,0,12,0,3036.9072
2025-03-20,2025,3,20,3,0,12,0,3043.7993
2025-03-21,2025,3,21,4,0,12,0,3022.2366
2025-03-22,2025,3,22,5,1,12,0,3022.8
2025-03-23,2025,3,23,6,1,12,0,3027.556
2025-03-24,2025,3,24,0,0,13,0,3015.2524
2025-03-25,2025,3,25,1,0,13,0,3022.7227
2025-03-26,2025,3,26,2,0,13,0,3028.998
2025-03-27,2025,3,27,3,0,13,0,3055.5361
2025-03-28,2025,3,28,4,0,13,0,3017.296
2025-03-29,2025,3,29,5,1,13,0,3044.6523
2025-03-30,2025,3,30,6,1,13,0,3043.3032
2025-03-31,2025,3,31,0,0,14,0,3121.1162
2025-04-01,2025,4,1,1,0,14,0,3116.9875
2025-04-02,2025,4,2,2,0,14,0,3113.331
2025-04-03,2025,4,3,3,0,14,0,3131.0066
2025-04-04,2025,4,4,4,0,14,0,3093.0496
2025-04-05,2025,4,5,5,1,14,0,3090.9294
2025-04-06,2025,4,6,6,1,14,0,3085.6587
2025-04-07,2025,4,7,0,0,15,0,3057.4814
2025-04-08,2025,4,8,1,0,15,0,3069.1555
2025-04-09,2025,4,9,2,0,15,0,3071.9277
2025-04-10,2025,4,10,3,0,15,0,3089.0518
2025-04-11,2025,4,11,4,0,15,0,3088.3887
2025-04-12,2025,4,12,5,1,15,0,3089.2966
2025-04-13,2025,4,13,6,1,15,0,3095.3982
2025-04-14,2025,4,14,0,0,16,0,3076.6423
2025-04-15,2025,4,15,1,0,16,0,3081.6116
2025-04-16,2025,4,16,2,0,16,0,3090.7725
2025-04-17,2025,4,17,3,0,16,0,3109.1772
2025-04-18,2025,4,18,4,0,16,0,3110.0632
2025-04-19,2025,4,19,5,1,16,0,3101.9224
2025-04-20,2025,4,20,6,1,16,0,3101.651
2025-04-21,2025,4,21,0,0,17,0,3068.4663
2025-04-22,2025,4,22,1,0,17,0,3071.2778
2025-04-23,2025,4,23,2,0,17,0,3071.9656
2025-04-24,2025,4,24,3,0,17,0,3080.5503
2025-04-25,2025,4,25,4,0,17,0,3070.395
2025-04-26,2025,4,26,5,1,17,0,3077.7039
2025-04-27,2025,4,27,6,1,17,0,3075.4395
2025-04-28,2025,4,28,0,0,18,0,3085.2336
2025-04-29,2025,4,29,1,0,18,0,3070.8545
